Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    12672       -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   12642       -        [256, 98]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 98]     float32 
unet_model.net  445538      -        [256, 98]     float32 
vnet_model.net  445538      -        [256, 98]     float32 
<top-level>:0   196         -        [256, 98]     float32 
<top-level>:1   -           -        [256, 98]     float32 
<top-level>:2   -           -        [256, 98]     float32 
<top-level>:3   -           -        [256, 98]     float32 
<top-level>:4   -           -        [256, 98]     float32 
<top-level>:5   -           -        [256, 98]     float32 
---             ---         ---      ---           ---     
Total           982634      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 148   sec/tick 0.6     sec/kimg 0.04    dyn_loss 40.787  total_loss 1034.436
tick 149   sec/tick 0.6     sec/kimg 0.04    dyn_loss 38.493  total_loss 955.210
tick 150   sec/tick 0.6     sec/kimg 0.04    dyn_loss 36.765  total_loss 999.852
tick 151   sec/tick 0.7     sec/kimg 0.05    dyn_loss 39.099  total_loss 995.633
tick 152   sec/tick 0.6     sec/kimg 0.04    dyn_loss 34.187  total_loss 991.649
tick 153   sec/tick 0.7     sec/kimg 0.04    dyn_loss 32.817  total_loss 1026.398
tick 154   sec/tick 0.6     sec/kimg 0.04    dyn_loss 37.859  total_loss 958.666
tick 155   sec/tick 0.6     sec/kimg 0.04    dyn_loss 38.045  total_loss 1028.193
tick 156   sec/tick 0.7     sec/kimg 0.04    dyn_loss 37.642  total_loss 989.051
tick 157   sec/tick 0.7     sec/kimg 0.05    dyn_loss 36.365  total_loss 1070.173
tick 158   sec/tick 0.6     sec/kimg 0.04    dyn_loss 33.930  total_loss 1070.729
tick 159   sec/tick 0.7     sec/kimg 0.04    dyn_loss 32.326  total_loss 1023.545
tick 160   sec/tick 0.6     sec/kimg 0.04    dyn_loss 28.568  total_loss 989.984
tick 161   sec/tick 0.6     sec/kimg 0.04    dyn_loss 35.696  total_loss 1073.799
tick 162   sec/tick 0.6     sec/kimg 0.04    dyn_loss 30.134  total_loss 951.680
tick 163   sec/tick 0.6     sec/kimg 0.04    dyn_loss 31.896  total_loss 1014.206
tick 164   sec/tick 0.7     sec/kimg 0.05    dyn_loss 30.814  total_loss 1042.425
tick 165   sec/tick 0.6     sec/kimg 0.04    dyn_loss 31.194  total_loss 969.620
tick 166   sec/tick 0.6     sec/kimg 0.04    dyn_loss 26.970  total_loss 960.923
tick 167   sec/tick 0.6     sec/kimg 0.04    dyn_loss 26.409  total_loss 1016.956
tick 168   sec/tick 0.6     sec/kimg 0.04    dyn_loss 28.401  total_loss 935.256
tick 169   sec/tick 0.6     sec/kimg 0.04    dyn_loss 28.935  total_loss 987.694
tick 170   sec/tick 0.6     sec/kimg 0.04    dyn_loss 32.668  total_loss 1059.544
tick 171   sec/tick 0.6     sec/kimg 0.04    dyn_loss 33.325  total_loss 1050.920
tick 172   sec/tick 0.6     sec/kimg 0.04    dyn_loss 31.645  total_loss 985.025
tick 173   sec/tick 0.6     sec/kimg 0.04    dyn_loss 30.907  total_loss 998.812
tick 174   sec/tick 0.6     sec/kimg 0.04    dyn_loss 30.012  total_loss 957.717
tick 175   sec/tick 0.6     sec/kimg 0.04    dyn_loss 32.611  total_loss 1028.454
tick 176   sec/tick 0.6     sec/kimg 0.04    dyn_loss 32.153  total_loss 1035.708
tick 177   sec/tick 0.6     sec/kimg 0.04    dyn_loss 26.348  total_loss 1053.266
tick 178   sec/tick 0.6     sec/kimg 0.04    dyn_loss 24.958  total_loss 1003.838
tick 179   sec/tick 0.6     sec/kimg 0.04    dyn_loss 31.036  total_loss 942.855
tick 180   sec/tick 0.7     sec/kimg 0.04    dyn_loss 33.313  total_loss 981.759
tick 181   sec/tick 0.6     sec/kimg 0.04    dyn_loss 27.645  total_loss 1003.247
tick 182   sec/tick 0.6     sec/kimg 0.04    dyn_loss 26.732  total_loss 977.828
