Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    5248        -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   5160        -        [256, 40]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 40]     float32 
unet_model.net  415784      -        [256, 40]     float32 
vnet_model.net  415784      -        [256, 40]     float32 
<top-level>:0   80          -        [256, 40]     float32 
<top-level>:1   -           -        [256, 40]     float32 
<top-level>:2   -           -        [256, 40]     float32 
<top-level>:3   -           -        [256, 40]     float32 
<top-level>:4   -           -        [256, 40]     float32 
<top-level>:5   -           -        [256, 40]     float32 
---             ---         ---      ---           ---     
Total           908104      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 139   sec/tick 0.6     sec/kimg 0.04    dyn_loss 68.540  total_loss 573.717
tick 140   sec/tick 0.6     sec/kimg 0.04    dyn_loss 57.460  total_loss 553.932
tick 141   sec/tick 0.7     sec/kimg 0.04    dyn_loss 57.259  total_loss 521.074
tick 142   sec/tick 0.6     sec/kimg 0.04    dyn_loss 49.387  total_loss 484.647
tick 143   sec/tick 0.6     sec/kimg 0.04    dyn_loss 62.503  total_loss 559.060
tick 144   sec/tick 0.6     sec/kimg 0.04    dyn_loss 50.063  total_loss 500.032
tick 145   sec/tick 0.6     sec/kimg 0.04    dyn_loss 46.484  total_loss 521.516
tick 146   sec/tick 0.6     sec/kimg 0.04    dyn_loss 41.287  total_loss 524.427
tick 147   sec/tick 0.6     sec/kimg 0.04    dyn_loss 40.668  total_loss 516.342
tick 148   sec/tick 0.6     sec/kimg 0.04    dyn_loss 52.360  total_loss 444.819
tick 149   sec/tick 0.6     sec/kimg 0.04    dyn_loss 44.166  total_loss 482.801
tick 150   sec/tick 0.6     sec/kimg 0.04    dyn_loss 42.890  total_loss 456.660
tick 151   sec/tick 0.6     sec/kimg 0.04    dyn_loss 42.650  total_loss 454.393
tick 152   sec/tick 0.6     sec/kimg 0.04    dyn_loss 34.864  total_loss 464.252
tick 153   sec/tick 0.6     sec/kimg 0.04    dyn_loss 33.361  total_loss 464.407
tick 154   sec/tick 0.6     sec/kimg 0.04    dyn_loss 37.978  total_loss 417.874
tick 155   sec/tick 0.6     sec/kimg 0.04    dyn_loss 31.195  total_loss 441.112
tick 156   sec/tick 0.6     sec/kimg 0.04    dyn_loss 32.823  total_loss 434.530
tick 157   sec/tick 0.6     sec/kimg 0.04    dyn_loss 28.979  total_loss 448.694
tick 158   sec/tick 0.7     sec/kimg 0.04    dyn_loss 27.581  total_loss 439.617
tick 159   sec/tick 0.7     sec/kimg 0.05    dyn_loss 26.951  total_loss 440.885
tick 160   sec/tick 0.6     sec/kimg 0.04    dyn_loss 29.053  total_loss 450.416
tick 161   sec/tick 0.6     sec/kimg 0.04    dyn_loss 26.378  total_loss 440.930
tick 162   sec/tick 0.7     sec/kimg 0.05    dyn_loss 21.711  total_loss 400.738
tick 163   sec/tick 0.7     sec/kimg 0.04    dyn_loss 21.932  total_loss 429.800
tick 164   sec/tick 0.8     sec/kimg 0.05    dyn_loss 22.878  total_loss 431.288
tick 165   sec/tick 0.6     sec/kimg 0.04    dyn_loss 28.198  total_loss 413.906
tick 166   sec/tick 0.7     sec/kimg 0.05    dyn_loss 23.090  total_loss 423.116
tick 167   sec/tick 0.7     sec/kimg 0.05    dyn_loss 22.763  total_loss 451.009
tick 168   sec/tick 0.7     sec/kimg 0.05    dyn_loss 21.225  total_loss 375.359
tick 169   sec/tick 0.7     sec/kimg 0.04    dyn_loss 24.151  total_loss 424.796
tick 170   sec/tick 0.6     sec/kimg 0.04    dyn_loss 22.953  total_loss 405.712
tick 171   sec/tick 0.7     sec/kimg 0.04    dyn_loss 22.875  total_loss 394.362
tick 172   sec/tick 0.7     sec/kimg 0.04    dyn_loss 20.430  total_loss 409.121
tick 173   sec/tick 0.6     sec/kimg 0.04    dyn_loss 18.088  total_loss 375.341
tick 174   sec/tick 0.6     sec/kimg 0.04    dyn_loss 20.241  total_loss 403.705
tick 175   sec/tick 0.6     sec/kimg 0.04    dyn_loss 18.716  total_loss 417.100
tick 176   sec/tick 0.6     sec/kimg 0.04    dyn_loss 19.613  total_loss 424.293
tick 177   sec/tick 0.6     sec/kimg 0.04    dyn_loss 19.242  total_loss 378.323
tick 178   sec/tick 0.7     sec/kimg 0.04    dyn_loss 15.074  total_loss 405.752
tick 179   sec/tick 0.6     sec/kimg 0.04    dyn_loss 17.357  total_loss 369.497
tick 180   sec/tick 0.7     sec/kimg 0.05    dyn_loss 18.809  total_loss 388.348
tick 181   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.718  total_loss 389.720
tick 182   sec/tick 0.6     sec/kimg 0.04    dyn_loss 14.724  total_loss 368.054
tick 183   sec/tick 0.6     sec/kimg 0.04    dyn_loss 14.054  total_loss 357.288
tick 184   sec/tick 0.7     sec/kimg 0.04    dyn_loss 14.696  total_loss 363.056
tick 185   sec/tick 0.7     sec/kimg 0.04    dyn_loss 16.139  total_loss 358.810
tick 186   sec/tick 0.7     sec/kimg 0.04    dyn_loss 14.787  total_loss 387.280
tick 187   sec/tick 0.7     sec/kimg 0.05    dyn_loss 11.951  total_loss 393.759
tick 188   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.030  total_loss 366.671
tick 189   sec/tick 0.6     sec/kimg 0.04    dyn_loss 12.462  total_loss 365.843
tick 190   sec/tick 0.6     sec/kimg 0.04    dyn_loss 15.021  total_loss 327.221
tick 191   sec/tick 0.6     sec/kimg 0.04    dyn_loss 12.376  total_loss 355.918
tick 192   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.193  total_loss 387.746
tick 193   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.960  total_loss 378.420
tick 194   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.635  total_loss 382.723
tick 195   sec/tick 0.6     sec/kimg 0.04    dyn_loss 13.383  total_loss 390.311
